,DATE,PCU44414441
0,2003-01-01 00:00:00,0.0
1,2003-02-01 00:00:00,0.0
2,2003-03-01 00:00:00,0.0
3,2003-04-01 00:00:00,0.0
4,2003-05-01 00:00:00,0.0
5,2003-06-01 00:00:00,0.0
6,2003-07-01 00:00:00,0.0
7,2003-08-01 00:00:00,0.0
8,2003-09-01 00:00:00,0.0
9,2003-10-01 00:00:00,0.0
10,2003-11-01 00:00:00,0.0
11,2003-12-01,100.0
12,2004-01-01,102.5
13,2004-02-01,104.1
14,2004-03-01,105.1
15,2004-04-01,108.6
16,2004-05-01,107.7
17,2004-06-01,108.7
18,2004-07-01,113.1
19,2004-08-01,112.5
20,2004-09-01,115.5
21,2004-10-01,110.6
22,2004-11-01,108.4
23,2004-12-01,108.1
24,2005-01-01,108.6
25,2005-02-01,110.8
26,2005-03-01,110.0
27,2005-04-01,110.4
28,2005-05-01,106.9
29,2005-06-01,106.8
30,2005-07-01,106.6
31,2005-08-01,108.1
32,2005-09-01,111.2
33,2005-10-01,111.2
34,2005-11-01,112.6
35,2005-12-01,115.3
36,2006-01-01,115.7
37,2006-02-01,116.6
38,2006-03-01,115.1
39,2006-04-01,117.9
40,2006-05-01,116.4
41,2006-06-01,122.8
42,2006-07-01,122.5
43,2006-08-01,123.6
44,2006-09-01,127.7
45,2006-10-01,122.0
46,2006-11-01,117.2
47,2006-12-01,119.8
48,2007-01-01,119.7
49,2007-02-01,121.0
50,2007-03-01,121.1
51,2007-04-01,121.3
52,2007-05-01,124.6
53,2007-06-01,125.2
54,2007-07-01,125.1
55,2007-08-01,123.5
56,2007-09-01,122.9
57,2007-10-01,122.0
58,2007-11-01,120.2
59,2007-12-01,122.1
60,2008-01-01,120.4
61,2008-02-01,120.5
62,2008-03-01,119.6
63,2008-04-01,119.0
64,2008-05-01,119.5
65,2008-06-01,123.5
66,2008-07-01,123.9
67,2008-08-01,122.6
68,2008-09-01,122.6
69,2008-10-01,120.9
70,2008-11-01,120.6
71,2008-12-01,119.1
72,2009-01-01,122.0
73,2009-02-01,120.9
74,2009-03-01,122.0
75,2009-04-01,122.0
76,2009-05-01,120.8
77,2009-06-01,123.0
78,2009-07-01,121.9
79,2009-08-01,122.6
80,2009-09-01,121.5
81,2009-10-01,118.2
82,2009-11-01,114.9
83,2009-12-01,119.5
84,2010-01-01,119.7
85,2010-02-01,119.6
86,2010-03-01,120.3
87,2010-04-01,126.2
88,2010-05-01,125.6
89,2010-06-01,120.0
90,2010-07-01,122.0
91,2010-08-01,121.3
92,2010-09-01,121.4
93,2010-10-01,120.4
94,2010-11-01,120.2
95,2010-12-01,121.6
96,2011-01-01,122.1
97,2011-02-01,123.8
98,2011-03-01,125.1
99,2011-04-01,125.5
100,2011-05-01,124.2
101,2011-06-01,123.1
102,2011-07-01,123.2
103,2011-08-01,124.3
104,2011-09-01,123.8
105,2011-10-01,126.1
106,2011-11-01,126.0
107,2011-12-01,125.2
108,2012-01-01,126.0
109,2012-02-01,126.9
110,2012-03-01,127.4
111,2012-04-01,128.9
112,2012-05-01,127.8
113,2012-06-01,128.8
114,2012-07-01,128.5
115,2012-08-01,130.4
116,2012-09-01,132.3
117,2012-10-01,132.2
118,2012-11-01,131.4
119,2012-12-01,133.4
120,2013-01-01,135.8
121,2013-02-01,138.9
122,2013-03-01,139.1
123,2013-04-01,141.9
124,2013-05-01,140.7
125,2013-06-01,140.2
126,2013-07-01,140.6
127,2013-08-01,138.0
128,2013-09-01,139.0
129,2013-10-01,137.5
130,2013-11-01,135.8
131,2013-12-01,136.0
132,2014-01-01,136.0
133,2014-02-01,135.6
134,2014-03-01,133.8
135,2014-04-01,133.9
136,2014-05-01,134.1
137,2014-06-01,134.6
138,2014-07-01,136.0
139,2014-08-01,135.7
140,2014-09-01,137.2
141,2014-10-01,136.6
142,2014-11-01,137.1
143,2014-12-01,135.9
144,2015-01-01,136.1
145,2015-02-01,138.6
146,2015-03-01,138.6
147,2015-04-01,137.7
148,2015-05-01,138.7
149,2015-06-01,138.4
150,2015-07-01,139.8
151,2015-08-01,138.3
152,2015-09-01,136.9
153,2015-10-01,136.3
154,2015-11-01,137.5
155,2015-12-01,137.2
156,2016-01-01,136.4
157,2016-02-01,137.8
158,2016-03-01,136.7
159,2016-04-01,137.8
160,2016-05-01,138.5
161,2016-06-01,140.9
162,2016-07-01,139.7
163,2016-08-01,140.5
164,2016-09-01,139.4
165,2016-10-01,138.0
166,2016-11-01,138.9
167,2016-12-01,139.8
168,2017-01-01,140.1
169,2017-02-01,140.3
170,2017-03-01,142.9
171,2017-04-01,141.1
172,2017-05-01,142.2
173,2017-06-01,142.6
174,2017-07-01,143.1
175,2017-08-01,144.9
176,2017-09-01,142.2
177,2017-10-01,143.1
178,2017-11-01,143.5
179,2017-12-01,145.7
180,2018-01-01,145.2
181,2018-02-01,147.1
182,2018-03-01,147.9
183,2018-04-01,150.0
184,2018-05-01,151.4
185,2018-06-01,153.3
186,2018-07-01,154.4
187,2018-08-01,151.9
188,2018-09-01,151.5
189,2018-10-01,152.2
190,2018-11-01,149.8
191,2018-12-01,151.0
192,2019-01-01,148.1
193,2019-02-01,148.4
194,2019-03-01,152.0
195,2019-04-01,155.8
196,2019-05-01,150.2
197,2019-06-01,148.6
198,2019-07-01,151.7
199,2019-08-01,152.1
200,2019-09-01,155.0
201,2019-10-01,152.4
202,2019-11-01,152.2
203,2019-12-01,153.1
204,2020-01-01,153.5
205,2020-02-01,152.2
206,2020-03-01,153.0
207,2020-04-01,155.7
208,2020-05-01,153.5
209,2020-06-01,160.7
210,2020-07-01,163.9
211,2020-08-01,179.8
212,2020-09-01,197.6
213,2020-10-01,196.4
214,2020-11-01,177.5
215,2020-12-01,177.6
216,2021-01-01,189.7
217,2021-02-01,194.9
218,2021-03-01,198.9
219,2021-04-01,213.3
220,2021-05-01,235.1
221,2021-06-01,251.7
222,2021-07-01,229.959
223,2021-08-01,212.302
224,2021-09-01,204.828
225,2021-10-01,204.302
226,2021-11-01,196.066
227,2021-12-01,199.89
228,2022-01-01,217.684
229,2022-02-01,235.392
230,2022-03-01,259.213
231,2022-04-01,255.198
232,2022-05-01,246.398
233,2022-06-01,232.225
234,2022-07-01,223.55
235,2022-08-01,212.657
236,2022-09-01,206.378
237,2022-10-01,209.471
238,2022-11-01,210.49
239,2022-12-01,200.109
240,2023-01-01,202.84
241,2023-02-01,211.059
242,2023-03-01,210.11
243,2023-04-01,210.049
244,2023-05-01,207.698
245,2023-06-01,208.814
246,2023-07-01,212.644
247,2023-08-01,208.731
248,2023-09-01,209.372
249,2023-10-01,209.476
250,2023-11-01,206.088
251,2023-12-01,206.408
252,2024-01-01,205.732
253,2024-02-01,213.877
254,2024-03-01,215.136
255,2024-04-01,218.505
256,2024-05-01,215.737
257,2024-06-01,216.514
